Country,Year,Value,Disease
BLZ,2014.0,55.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BLZ,2015.0,53.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BLZ,2016.0,38.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BLZ,2017.0,43.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BLZ,2018.0,49.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BLZ,2019.0,40.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BLZ,2020.0,44.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BLZ,2021.0,35.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BLZ,2022.0,33.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BLZ,2023.0,34.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BLZ,2024.0,31.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BOL,2010.0,133.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BOL,2011.0,168.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BOL,2012.0,249.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BOL,2013.0,212.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BOL,2014.0,229.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BOL,2015.0,284.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BOL,2016.0,345.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BOL,2017.0,379.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BOL,2018.0,462.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BOL,2019.0,484.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BOL,2020.0,424.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BOL,2021.0,484.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BOL,2022.0,514.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BOL,2023.0,548.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BRB,2010.0,21.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BRB,2011.0,21.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BRB,2012.0,24.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BRB,2013.0,19.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BRB,2014.0,21.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BRB,2015.0,15.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BRB,2016.0,16.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BRB,2017.0,18.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BRB,2018.0,16.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BRB,2019.0,19.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BRB,2020.0,13.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BRB,2021.0,16.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BRB,2022.0,19.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BRB,2023.0,17.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BRB,2024.0,13.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BTN,2010.0,10.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BTN,2011.0,12.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BTN,2012.0,8.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BTN,2013.0,8.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BTN,2014.0,7.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BTN,2015.0,3.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BTN,2016.0,8.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BTN,2017.0,8.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BTN,2018.0,7.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BTN,2019.0,4.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BTN,2020.0,6.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BTN,2021.0,6.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BTN,2022.0,7.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BTN,2023.0,4.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BTN,2024.0,8.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BWA,2011.0,9940.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BWA,2022.0,9419.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BWA,2023.0,8392.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BWA,2024.0,7305.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
CAF,2010.0,2013.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
CAF,2011.0,2552.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
CAF,2012.0,2742.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
CAF,2013.0,1541.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
CAF,2014.0,2562.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
CAF,2015.0,2721.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
CAF,2016.0,3901.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
CAF,2017.0,2897.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
CAF,2018.0,3186.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
CAF,2019.0,4029.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
CAF,2020.0,3628.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
CAF,2021.0,3959.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
CAF,2022.0,3097.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
CAF,2023.0,3321.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
CAF,2024.0,4064.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
COD,2010.0,2166.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
COD,2011.0,3186.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
COD,2012.0,3315.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
COD,2013.0,7802.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
COD,2023.0,9894.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
COD,2024.0,9190.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
COG,2010.0,622.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
COG,2011.0,1416.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
COG,2012.0,1134.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
COG,2013.0,1466.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
COG,2014.0,1187.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
COG,2015.0,1130.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
COG,2016.0,672.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
COG,2017.0,698.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
COG,2018.0,480.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
COG,2019.0,504.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
COG,2020.0,865.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
COG,2021.0,1568.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
COG,2022.0,1526.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
COG,2023.0,2185.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
COG,2024.0,2986.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
COL,2010.0,621.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
COL,2011.0,727.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
COL,2012.0,742.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
COL,2013.0,782.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
COL,2014.0,864.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
COL,2015.0,737.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
COL,2016.0,774.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
COL,2017.0,775.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
COL,2018.0,736.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
COL,2019.0,818.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
COL,2020.0,845.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
COL,2021.0,841.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
COL,2022.0,822.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
COL,2023.0,822.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
COM,2010.0,5.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
COM,2011.0,1.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
COM,2012.0,2.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
COM,2013.0,1.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
COM,2014.0,3.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
COM,2015.0,4.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
COM,2016.0,7.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
COM,2017.0,8.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
COM,2018.0,7.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
COM,2019.0,5.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
COM,2020.0,3.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
COM,2021.0,4.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
COM,2022.0,7.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
COM,2023.0,12.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
COM,2024.0,7.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
CPV,2010.0,71.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
CPV,2011.0,74.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
CPV,2012.0,85.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
CPV,2013.0,104.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
CPV,2014.0,95.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
CPV,2015.0,92.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
